courseNumber,courseTitle,crn,department,description,distDesg,meetingPattern,prerequisites
130,Intermediate Korean I,11856,EALL,"Continued development of skills in modern Korean, spoken and written, leading to intermediate-level proficiency.",['YCL3'],['M-F 9.25-10.15'],After KREN 120 or equivalent.
132,Intermediate Korean for Advanced Learners I,11864,EALL,"Intended for students with some oral proficiency but little or no training in Hankul. Focus on grammatical analysis, the standard spoken language, and intensive training in reading and writing.",['YCL3'],['M-F 9.25-10.15'],Value Not Provided
150,Advanced Korean I: Korean Language and Culture through K-Pop Music,11865,EALL,"An advanced language course with emphasis on developing vocabulary and grammar, practice reading comprehension, speaking on a variety of topics, and writing in both formal and informal styles. Use storytelling, discussion, peer group activities, audio and written journals, oral presentations, and supplemental audiovisual materials and texts in class.",['YCL5'],['MWF 11.35-12.25'],After KREN 140 or equivalent.
152,Advanced Korean III: Contemporary Life in Korea,11866,EALL,"This course is an advanced language course designed to further develop language skills through topics related to contemporary Korea, including lifestyle, society, culture, and literature, supplemented with authentic media materials. This course aims to expand students’ understanding of Korea while enhancing their multiliteracy. Intended for both non-heritage speakers and heritage speakers.",['YCL5'],['MWF 9.25-10.15'],"Prerequisite: After KREN 142 or KREN 151, or equivalent."
154,Advanced Korean V: History and Society,11868,EALL,"An advanced language course designed to develop reading and writing skills using Web-based texts in a variety of genres. Students read texts independently and complete comprehension and vocabulary exercises through the Web. Discussions, tests, and intensive writing training in class.",['YCL5'],['TTh 1.00-2.15'],After KREN 152 or equivalent.
110,Elementary Nepali I,12910,SAST,"This course is intended for beginners of the Nepali language. The emphasis is given on basic grammar, speaking, and comprehension skills, using culturally appropriate materials and texts. Devanagari script for reading and writing is also introduced.",['YCL1'],['MTWTh 9.00-9.55'],Course taught through distance learning using videoconferencing technology from Cornell University. Enrollment limited; interested students should e-mail david.ortega@yale.edu for more information.
130,Intermediate Nepali I,12912,SAST,This course focuses on the systematic reading of intermediate level texts and further development of oral skills building on the elementary language skills. The instruction focuses on the development of writing skills as well.,['YCL3'],['TTh 10.10-11.25'],"Prerequisite: NPLI 120, or equivalent.Course taught through distance learning using videoconferencing technology from Cornell University. Enrollment limited; interested students should e-mail david.ortega@yale.edu for more information."
150,Advanced Nepali I,12913,SAST,"This course focuses on the systematic reading of advanced texts, together with advanced drills on the spoken language. Furthermore, the instruction helps develops all four skills of Nepali language, however, based on the nature of the course the main emphasis is given to advanced reading and advanced spoken Nepali.",['YCL5'],[],Prerequisite: NPLI 140 or equivalent. Course taught through distance learning using videoconferencing technology from Cornell University. Enrollment limited; interested students should e-mail david.ortega@yale.edu for more information.
110,Introduction to Classical Hieroglyphic Egyptian I,12317,NELC,"Introduction to the language of ancient pharaonic Egypt (Middle Egyptian) and its hieroglyphic writing system, with short historical, literary, and religious texts. Grammatical analysis with exercises in reading, translation, and composition.",['YCL1'],['TTh 9.00-10.15'],Value Not Provided
131,Intermediate Egyptian I: Literary Texts,12318,NELC,"This course engages in close reading of Middle Egyptian literarytexts in hieroglyphic transcription, along with an introduction to the hieratic (cursive) Egyptianscript of the original sources. Primary sources include the Middle Kingdomstories, principally those known by themodern titles “The Story of Sinuhe” and “The Tale of theEloquentPeasant.” Assigned secondary literature includes reviews of grammatical topics in Middle Egyptian andanalyses of the cultural, religious, and historical context of the literary texts.We also read portions of texts fromother genres—historical, administrative, etc.—that serve to illuminate concepts and practices appearing in the literary compositions.",['YCL3'],['MW 2.30-3.45'],Prerequisite: EGYP 120 or permission of instructor.
159,Abydene Texts,14297,NELC,"Abydene Texts engages in close reading of a selection of the many texts deriving from and describing the ancient city of Abydos. The course provides an overview of material ranging in date from the Protodynastic through the Ramesside Periods, covering over two millennia of ancient Egyptian history. This class is intended for students who have completed at least one L3/4 course; if you have not met this prerequisite, please contact me as soon as possible. This course fulfills the L5 requirement.",['YCL5'],['MW 4.00-5.15'],"This class is intended for students who have completed at least one L3/4 course; if you have not met this prerequisite, please contact me as soon as possible. This course fulfills the L5 requirement."
110,Elementary Hindi I,12471,SAST,"An in-depth introduction to modern Hindi, including the Devanagari script. A combination of graded texts, written assignments, audiovisual material, and computer-based exercises provides cultural insights and increases proficiency in understanding, speaking, reading, and writing Hindi. Emphasis on spontaneous self-expression in the language.",['YCL1'],['M-F 10.30-11.20'],No prior background in Hindi assumed.
150,Advanced Hindi,13638,SAST,"An advanced language course aimed at enabling students to engage in fluent discourse in Hindi and to achieve a comprehensive knowledge of formal grammar. Introduction to a variety of styles and levels of discourse and usage. Emphasis on the written language, with readings on general topics from newspapers, books, and magazines.",['YCL5'],['MW 2.30-3.45'],Prerequisite: HNDI 140 or permission of instructor.
130,Intermediate Hindi I,13640,SAST,"The first half of a two-term sequence designed to develop proficiency in the four language skills. Extensive use of cultural documents including feature films, radio broadcasts, and literary and nonliterary texts to increase proficiency in understanding, speaking, reading, and writing Hindi. Focus on cultural nuances and Hindi literary traditions. Emphasis on spontaneous self-expression in the language.",['YCL3'],['M-F 10.30-11.20'],After HNDI 120 or equivalent.
132,Accelerated Hindi I,13641,SAST,A fast-paced course designed for students who are able to understand basic conversational Hindi but who have minimal or no literacy skills. Introduction to the Devanagari script; development of listening and speaking skills; vocabulary enrichment; attention to sociocultural rules that affect language use. Students learn to read simple texts and to converse on a variety of everyday personal and social topics.,['YCL3'],['TTh 2.30-3.45'],Value Not Provided
198,Advanced Tutorial,13646,SAST,For students with advanced Hindi language skills who wish to engage in concentrated reading and research on material not otherwise offered by the department. Work must be supervised by an adviser and must terminate in a term paper or the equivalent. Permission to enroll requires submission of a detailed project proposal and its approval by the language studies coordinator.,[],['1 HTBA'],Prerequisite: HNDI 150 or equivalent.
355,Extraordinary Glimpses of Past Life,12056,EPS,"Study of exceptionally well-preserved fossil deposits (lagerstaetten) that contain nonmineralized animal skeletons and casts of the soft parts of organisms. Examples such as the Burgess Shale and Solnhofen limestones; what they can reveal about the history and evolution of life, ancient lifestyles and environments, and preservational processes.",['YCSC'],"['MW 11.35-12.50', '1 HTBA ESC 100']",Value Not Provided
310,Isotope Geochemistry,12059,EPS,"An overview of the fundamental principles of stable and radiogenic isotope geochemistry. Emphasis is placed on applications of such systems to the evolution of the planet and life on Earth. Specific topics include marine geochemistry, geochronology, and biogeochemistry.","['YCQR', 'YCSC']","['1 HTBA', 'TTh 1.00-2.15']","Prerequisites: CHEM 115, MATH 120, and PHYS 171 or equivalents, or with permission of instructor."
325,Vertebrate Paleontology,12064,EPS,"Phylogeny and evolution of the major clades of vertebrates from Cambrian to Recent, as inferred mainly from the fossilized remains of the musculoskeletal system (cranial, axial, and appendicular skeletons).Special attention given to the evolution of vertebrate feeding, locomotor, and sensory systems.",['YCSC'],"['1 HTBA', 'TTh 2.30-3.45']","Prerequisite: E&EB 225, or with permission of instructor."
110,Dynamic Earth,12068,EPS,"An introduction to the Earth as a planetary system, from its atmosphere to its core; and how the constantly changing surface environment controls both the foundation and fate of industrial society. Topics include planetary structure; plate tectonics, earthquakes and volcanoes; minerals, rocks and soils; evolution of landscapes; hydrology and floods; coasts and oceans; climate and weather; Earth history and biological evolution; humanity's economic dependence on natural resources; and human influences on the natural environment.",['YCSC'],"['MWF 10.30-11.20', '1 HTBA DL 220']",Value Not Provided
111L,Dynamic Earth Laboratory and Field Methods,12069,EPS,Practical exercises in the laboratory and in the field to complement EPS 110 or 115. Identification of minerals and rocks; construction of geologic maps and cross sections to determine Earth-system processes and histories. Includes a field trip to the northern Appalachians during the October recess.,['YCSC'],[],"After or concurrently with EPS 110, or after EPS 115."
450,Deformation of Earth Materials,12071,EPS,"Basic physics and chemistry of Earth materials, with emphasis on kinetic and transport properties. Geochemical and geophysical processes in Earth's crust and mantle and their influence on the dynamics and evolution of this planet. Topics include plastic flow, diffusion, electrical conductivity, and chemical reaction.","['YCQR', 'YCSC']","['1 HTBA', 'TTh 1.00-2.15']","Prerequisites: CHEM 115, MATH 120, and PHYS 181, or equivalents."
492,The Senior Essay,12080,EPS,"One term of independent library, laboratory, field, or modeling-based research under faculty supervision. To register for this course, each student must submit a written plan of study, approved by a faculty adviser, to the director of undergraduate studies at the beginning of the term in which the essay is to be written.",[],['1 HTBA'],Value Not Provided
487,Individual Study in Earth and Planetary Sciences,12081,EPS,"Individual study for qualified undergraduates under faculty supervision. To register for this course, each student must submit a written plan of study, approved by the adviser, to the director of undergraduate studies.",[],['1 HTBA'],May be taken more than once for credit.
488,Research in Earth and Planetary Sciences,12082,EPS,"Individual study for qualified juniors and seniors under faculty supervision. To register for this course, each student must submit a written plan of study, approved by the adviser, to the director of undergraduate studies.",[],['1 HTBA'],Value Not Provided
490,Research and Senior Thesis,12083,EPS,"Two terms of independent library, laboratory, field, or modeling-based research under faculty supervision. To register for this course, each student must submit a written plan of study, approved by a faculty adviser, to the director of undergraduate studies by the start of the senior year.The plan requires approval of the full EPS faculty.",[],['1 HTBA'],Value Not Provided
100,Natural Disasters,12377,EPS,"Natural events and their impact on humanity and the built environment. Earthquakes, volcanoes, tsunamis, landslides, coastal flooding, tornadoes, hurricanes, and meteoritic impacts. Hazard mitigation strategies. Consequences of global warming.",['YCSC'],"['MWF 11.35-12.25', '1 HTBA SSS 114']",Value Not Provided
274,Fossil Fuels and World Energy,13238,EPS,"The origins, geologic settings, exploration, distribution, and extraction of coal, oil, and natural gas as finite Earth resources. The role of fossil fuels in the world's energy systems; environmental impacts of fossil fuels, including climate change; the transition to low-carbon energy sources.",['YCSC'],['TTh 1.00-2.15'],"Prerequisites: high school chemistry, mathematics, and Earth science.Recommended preparation: G&G 110 or 205."
350,Rock Formation in Mountain Belts,13240,EPS,"The fundamental principles governing the formation of metamorphic and igneous rocks during mountain building. Topics include processes of heat and mass transfer in orogenic belts, generation of igneous rocks in continental and subduction settings, ultrahigh pressure and ultrahigh temperature metamorphism, spatial and temporal patterns of petrologic processes throughout geologic time, and pressure-temperature-time paths of metamorphic and igneous rocks.",['YCSC'],"['TTh 11.35-12.50', '1 HTBA']","Prerequisites: EPS220 and introductory college-level calculus and chemistry, or with permission of instructor."
312,Structural Geology,13730,EPS,"An introduction to the origin and structure of the lithosphere and continental and oceanic crust. Topics include what controls the solid versus fluid behavior of rocks during deformation, and what controls the character and motion of tectonic plates. Laboratory exercises and field trips.","['YCQR', 'YCSC']","['1 HTBA', 'MWF 11.35-12.25']",Value Not Provided
335,Physical Oceanography,13732,EPS,"An introduction to ocean dynamics and physical processes controlling large-scale ocean circulation, the Gulf Stream, wind-driven waves, tsunamis, tides, coastal upwelling, and other phenomena. Modern observational, theoretical, and numerical techniques used to study the ocean. The ocean's role in climate and global climate change.","['YCQR', 'YCSC']","['1 HTBA', 'TTh 11.35-12.50']","After PHYS 181 and MATH 120 or equivalents, or with permission of instructor."
261,Minerals and Human Health,13733,EPS,Study of the interrelationships between Earth materials and processes and personal and public health. The transposition from the environment of the chemical elements essential for life.,['YCSC'],"['TTh 11.35-12.50', '1 HTBA KGL 226']",After one year of college-level chemistry or with permission of instructor; EPS 110 recommended.
130,Introduction to Cognitive Science,10103,PSYC,"An introduction to the interdisciplinary study of how the mind works. Discussion of tools, theories, and assumptions from psychology, computer science, neuroscience, linguistics, and philosophy.","['YCSO', 'YPYC']",['TTh 2.30-3.45'],Value Not Provided
110,Introduction to Psychology,10663,PSYC,"A survey of major psychological approaches to the biological, cognitive, and social bases of behavior.",['YCSO'],['TTh 1.00-2.15'],Value Not Provided
140,Developmental Psychology,10664,PSYC,"An introduction to research and theory on the development of perception, action, emotion, personality, language, and cognition from a cognitive science perspective. Focus on birth to adolescence in humans and other species.","['YCSO', 'YPYS']",['MW 9.00-10.15'],Prerequisite: PSYC 110.
150,Social Psychology,10666,PSYC,"Theories, methodology, and applications of social psychology. Core topics include the self, social cognition/social perception, attitudes and persuasion, group processes, conformity, human conflict and aggression, prejudice, prosocial behavior, and emotion.","['YCSO', 'YPYS']",['MW 11.35-12.50'],Value Not Provided
235,"Research Methods, Writing Intensive",10667,PSYC,"Introduction to general principles and strategies of psychological research. Topics include generating and testing hypotheses, laboratory and field experiments, scale construction, sampling, archival methods, case studies, ethics and politics of research, and Internet and cross-cultural methods. Hands-on research experience in laboratories.","['YCSO', 'YCWR']",['TTh 2.30-3.45'],Prerequisite: PSYC 200 or S&DS 103.
408,Topics in Thinking,10668,PSYC,"A survey of psychological studies on thinking and reasoning, with discussion of ways to improve thinking skills. Topics include judgments and decision making, counterfactual reasoning, causal learning, inductive inferences, analogical reasoning, problem solving, critical thinking, and creativity.",['YCSO'],['F 9.25-11.15'],Students who have taken PSYC 179 are not eligible to enroll in this course.
493,Directed Research,10671,PSYC,"Empirical research projects or literature review. A student must be sponsored by a faculty member, who sets the requirements and supervises the student's progress. To register, the student mustdownload a tutorial form from http://psychology.yale.edu/undergraduate/undergraduate-major-forms, complete it with the adviser, and submit it to the director of undergraduate studies by the deadline listed on the form. The normal minimum requirement is a written report of the completed research or literature review, but individual faculty members may set alternative equivalent requirements. May be elected for one or two terms.",[],['1 HTBA'],May not be used for the Psychology senior essay requirement.
495,Research Topics,10672,PSYC,"Empirical research project or literature review. A student must be sponsored by a faculty member, who sets the requirements and supervises the student's progress. To register, the studentmustdownloadatutorial form from http://psychology.yale.edu/undergraduate/undergraduate-major-forms, complete it withthe adviser, and submit itto the director of undergraduatestudies by the date indicated on the form.The normal minimum requirement is a written report of the completed research or literature review, but individual faculty members may set alternative equivalent requirements. May be elected for one or two terms.",[],['1 HTBA'],May not be used for the Psychology senior essay requirement.
499,Senior Essay,10673,PSYC,"Independent senior research project (either empirical research or literature review), conducted under the guidance of a faculty adviser who sets the requirements and supervises the research.To register, the studentmustdownloadatutorial form from http://psychology.yale.edu/undergraduate/undergraduate-major-forms, complete it withthe adviser, and submit itby the deadline indicated on the form.The normal minimum requirement is a written report of the completed research or literature review, but individual faculty members may set alternative equivalent requirements.A paper of 5,000 words or more meets the writing needed for the senior requirement. To be considered for Distinction in the Major, the paper should be submitted at least one week before the last day of classes and will be graded by the adviser and a second reader assigned by the DUS.",[],['1 HTBA'],Value Not Provided
200,Statistics,10848,PSYC,"Measures of central tendency, variability, association, and the application of probability concepts in determining the significance of research findings.",['YCQR'],['TTh 10.30-11.20'],This course may not be taken after S&DS 100.
440,The Psychology of Attraction and Close Relationships,10861,PSYC,"This course is an advanced seminar covering psychological research on interpersonal attraction and intra- and interpersonal psychological processes that lead to thriving (or stumbling) in close relationships such as friendships, romantic relationships, and family relationships. It covers research on what attracts people to one another, relationship initiation, commitment, and the maintenance and deterioration of relationships. It is neither a self-help nor clinical course but, rather, a social psychological course focusing on processes that influence most people's relationships which also includes some work on individual differences in the functioning of close relationships.",['YCSO'],['MW 10.00-11.15'],"This course has no set prerequisites. One research methods course in psychology and at least one lecture course covering aspects of social psychology (e.g. introductory psychology, social psychology) are suggested. It is most appropriate for junior and senior psychology majors and for social psychology or clinical psychology graduate students interested in relational processes."
125,Child Development,11445,PSYC,"This course is first in a sequence including Theory and Practice of Early Childhood Education (CHLD127/PSYCH 127/EDST 127) and Language Literacy and Play (CHLD 128/PSYCH 128/EDST 128). This course provides students a theoretical base in child development and behavior and tools to sensitively and carefully observer infants and young children. The seminar will consider aspects of cognitive, social, and emotional development. An assumption of this course is that it is not possible to understand children – their behavior and development—without understanding their families and culture and the relationships between children and parents. The course will give an overview of the major theories in the field, focusing on the complex interaction between the developing self and the environment, exploring current research and theory as well as practice. Students will have the opportunity to see how programs for young children use psychodynamic and interactional theories to inform the development of their philosophy...","['YCSO', 'YCWR']","['W 1.30-2.45', '1 HTBA SML 120C']","Priority given to juniors, seniors, Ed Study students."
314,Performance Psychology and Neuroscience,11549,PSYC,"Human cognitive and motor performance fluctuates over time and varies across situations. What explains peak performance and how can it be sustained? The variation can be explained by neural mechanisms of attention and executive control; psychological factors like emotion, stress, mindset, and positive thinking; and physiological factors such as sleep and exercise, which affect the brain and mind.","['YCSO', 'YPYN']",['TTh 1.00-2.15'],Value Not Provided
118,Disney: A Case Study in Applied Psychology,12053,PSYC,"Disney wields enormous influence on our society. Its domination of social media, film, theme parks, and online merchandising allows Disney to shape entire generations. This course uses a theoretical and empirical framework of psychology to examine how Disney exerts its influence and what impact that influence has on behavior, self-perception, and mental health.We incorporate theories and practices from a wide range of branches of psychology including social, clinical, industrial/organization, neuropsychology, developmental, environmental, and media psychology as a foundation for the seminar. The course interweaves related multidisciplinary readings and insights from perspectives including (but not limited to) women’s, gender, and sexuality studies; race and ethnicity; film and media; visual arts; music; environmental studies; food/health; philosophy/morality; global affairs; and economics. The course begins with an overview of how Disney uses psychology to influence behavior in its theme parks, online...",['YCSO'],['TTh 1.00-2.15'],"Prior coursework in psychology is not necessary, nor is it assumed."
453,The Science of the Human Mind: Pioneers between the Objective and Subjective,12437,PSYC,"The human mind, with its subjective nature, is the most mysterious and elusive of all substances in the known universe.It took intrepid thinkers and ingenious scientists to forge the objective empirical study of mental functions. Today human experimental psychology, cognitive science, and neuroscience are thriving. How far have we come from the pioneering days and are we headed in a good direction? This seminar course will offer the advanced and scholarly minded student the opportunity to take a deep dive into the fundamental breakthroughs that opened the experimental study of the human mind and that continue to push the boundaries between the objective and subjective in new directions.",['YCSO'],['T 1.30-3.20'],"Prerequisites: PSYC 110, PSYC 130 or PSYC 160. PSYC 335 is strongly advised."
337,Multicultural Psychology,14329,PSYC,"Multicultural Psychology examines how identity, and its social contexts, impacts human behavior and perspectives. This course will introduce students to theoretical and practical approaches used to assess the impact of culture on various psychological processes. Such examination will be guided by real-world application of material covered in class and required readings. Topics will include class, culture, family, gender, mental and physical health, race, religion and spirituality, and stereotyping and prejudice.",['YCSO'],['W 1.30-3.20'],Value Not Provided
312,Native American Mental Health,14423,PSYC,"Issues of health policy, research, and service delivery in Native American communities, with a focus on historical antecedents that shape health outcomes and social policy for indigenous communities. Urgent problems in health and wellness, with special attention to Native American mental health. The roles of the Indian Health Service, state and local agencies, and tribal health centers; comparison of Native American and European American conceptions of health and illness.",['YCSO'],['W 9.25-11.15'],Value Not Provided
342,Psychology of Gender,16075,PSYC,"This course explores the historical relationship between the ""mind sciences"" and dominant gender notions, ideologies, and norms. Students will critically examine the historical role that psychology and related fields have played in reinforcing and perpetuating things such as gender hierarchy, the gender binary, and the cis-hetero-patriarchal nuclear family unit, among other things. Students will be introduced to works that illuminate the larger underlying social, political, and economic systems, institutions, and historical processes that are co-constitutive with these gender hierarchies, ideologies, and norms, with an emphasis on the role of psychology and related fields. Students will also learn about psychologists and related scientists and scholars whose work has challenged those systems and institutions toward a more emancipatory vision for the role of psychology in society, and how their work has shaped the field.",['YCSO'],['MW 11.35-12.50'],None
260,"Food, Identity and Desire",10840,WGSS,"Exploration of how food—ingredients, cooking practices, and appetites—can intersect with gender, ethnicity, class, and national origin to produce profound experiences of identity and desire. Sources include memoir, cookbooks, movies, and fiction.",[],['W 9.25-11.15'],Value Not Provided
340,Feminist and Queer Theory,10842,WGSS,"Historical survey of feminist and queer theory from the Enlightenment to the present, with readings from key British, French, and American works. Focus on the foundations and development of contemporary theory. Shared intellectual origins and concepts, as well as divergences and conflicts, among different ways of approaching gender and sexuality.","['YCHU', 'YCWR']",['M 3.30-5.20'],Value Not Provided
230,Evolutionary Biology of Female Bodies,10974,WGSS,"Evolutionary, biosocial, and situated perspectives on the female body. Physiological, ecological, social and cultural aspects of the development of female bodies from puberty through menopause and aging, with special attention to lived experiences. Variation in female life histories in a variety of cultural and ecological settings. Examples from both traditional and modern societies.","['YANB', 'YCSC']",['TTh 2.30-3.45'],Value Not Provided
438,"Subjectivity and its Discontents: Psychosocial Explorations in Black, Feminist, Queer",11063,WGSS,"Questions of subjectivity stand at the base of much feminist, black, queer scholarship yet how subjectivity is constituted, whether it is fixed or fluid, how it links to narratives of experience, and how it can be apprehended in critical inquiry is often left implicit. Beginning with a brief consideration of psychoanalytic conceptions of ‘the subject’, ‘subjectivity’ and their relation to social formations, this course examines some of the ways in which subjectivity has been theorized and brought under critical scrutiny by black diasporic, feminist and queer scholars. It draws on work produced in reference to multiple sites, including the UK, the USA and the Caribbean within the fields of psychoanalysis, social science, the humanities and critical art practice. It aims to critique the divide between ‘interior’ psychic life and ‘exterior’ social selves, as well as considering the relation between ‘freedom’ and subjectivity, including the extent to which ‘freedom’ might require rejection of ‘subjectivity’...",['YCSO'],['W 3.30-5.20'],Value Not Provided
490,The Senior Colloquium,11065,WGSS,A research seminar taken during the senior year. Students with diverse research interests and experience discuss common problems and tactics in doing independent research.,[],['T 1.30-3.20'],Value Not Provided
430,Gender and Citizenship in the Middle East,11066,WGSS,"This seminar explores the complex interplay between gender, sexuality, and citizenship in the Middle East and North Africa. We examine how they are both shaped by and shape experiences of nationality, migration, and statelessness. Highlighting how gender and sexual minorities, and the gendered regulation of life, more broadly, both animate and contest colonial legacies tied to a racialized notion of “modernity.” Through ethnography, history, and literature, students confront a political economy of intimacies that continuously reshape what it means to be or not to be a citizen. Our approach extends beyond borders and laws to include the everyday acts of citizenship that rework race, religion, and ethnicity across transnational fronts. We discuss how people navigate their lives in the everyday, from the ordinary poetry of identity and belonging to the spectacular drama of war and conflict. Our goal is to challenge orientalist legacies that dismiss theoretical insights from scholarship on and from this...",['YCSO'],['T 1.30-3.20'],Value Not Provided
212,Monogamy and its Discontents,11207,WGSS,"While monogamy is central to Michel Foucault’s formulation of normative sexuality that arose in the 19th century (the Malthusian couple as adult, monogamous, heterosexual, married, and reproductive), little attention has been paid to it as a particular historical form of intimacy. We investigate this structure of intimacy through theoretical, historical, ethnographic, literary, and visual materials and think about the various meanings of monogamy historically as well as transnationally. Monogamy is entangled with relations of private property, with colonial civilizational narratives, with scientific theories about human nature. Polygamy in return has historically been understood as religious and/or cultural difference, and as a remnant of pre-modernity. The course weaves together theoretical readings that equip students with the tools to understand some key concepts that we need for our discussion, such as private property; the private family; colonialism and (cultural) imperialism; law and liberalism;...",['YCHU'],['TTh 2.30-3.45'],Value Not Provided
239,Education and the Culture Wars,11961,WGSS,"Examination of the historical development and politics of the “culture wars” with a focus on how battles over the “soul of America” have focused on the American education system. Conflict over ""American values” issues like abortion, gay marriage, and religion are compounded by legal battles over federal funding and school choice. Study of interdisciplinary readings from law, politics, history, and cultural studies.",[],['T 3.30-5.20'],Preference for enrollment will be given to Education Studies Scholars.
233,Weird Greek Wave Cinema,14183,WGSS,"The course examines the cinematic production of Greece in the last fifteen years or so and looks critically at the popular term “weird Greek wave” applied to it. Noted for their absurd tropes, bizarre narratives, and quirky characters, the films question and disturb traditional gender and social roles, as well as international viewers’ expectations of national stereotypes of classical luminosity–the proverbial “Greek light”–Dionysian exuberance, or touristic leisure. Instead, these works frustrate not only a wholistic reading of Greece as a unified and coherent social construct, but also the physical or aesthetic pleasure of its landscape and its ‘quaint’ people with their insistence on grotesque, violent, or otherwise disturbing images or themes (incest, sexual otherness and violence, aggression, corporeality, and xenophobia). The course also pays particular attention on the economic and political climate of the Greek financial crisis during which these films are produced and consumed and to which they...",['YCHU'],"['W 1.30-3.20', '1 HTBA RKZ 241']",Value Not Provided
209,Dionysus in Modernity,14188,WGSS,"Modernity's fascination with the myth of Dionysus. Questions of agency, identity and community, and psychological integrity and the modern constitution of the self. Manifestations of Dionysus in literature, anthropology, and music; the Apollonian-Dionysiac dichotomy; twentieth-century variations of these themes in psychoanalysis, surrealism, and magical realism.",['YCHU'],"['Th 1.30-3.20', '1 HTBA RKZ 241']",Value Not Provided
471,Independent Directed Study,16309,WGSS,"For students who wish to explore an aspect of women's, gender, and sexuality studies not covered by existing courses. The course may be used for research or directed readings and should include one lengthy or several short essays. Students meet with their adviser regularly. To apply for admission, students present a prospectus to the director of undergraduate studies along with a letter of support from the adviser. The prospectus must include a description of the research area, a core bibliography, and the expected sequence and scope of written assignments.",[],['1 HTBA'],Value Not Provided
100,Introduction to Computing and Programming,10113,CPSC,"Introduction to the intellectual enterprises of computer science and to the art of programming. Students learn how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development. Languages include C, Python, SQL, and JavaScript, plus CSS and HTML. Problem sets inspired by real-world domains of biology, cryptography, finance, forensics, and gaming. See CS50's website, https://cs50.yale.edu, for additional information.",['YCQR'],['1 HTBA'],No previous programming experience required. Open to students of all levels and majors.
110,Python Programming for Humanities and Social Sciences,10114,CPSC,"Introduction to computer science and Python programming with domain-specific applications. Students learn how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, web development, and statistical tools. Students learn to apply computing techniques in the fields of social sciences & humanities by analyzing data. No previous programming experience is required. This course is intended for students of social sciences & humanities majors.",['YCQR'],['MW 11.35-12.50'],Value Not Provided
150,Computer Science and the Modern Intellectual Agenda,10115,CPSC,"Introduction to the basic ideas of computer science (computability, algorithm, virtual machine, symbol processing system), and of several ongoing relationships between computer science and other fields, particularly philosophy of mind.","['YCHU', 'YCWR']",['MW 11.35-12.50'],No previous experience with computers necessary. Enrollment limited to 25.
183,"Law, Technology, and Culture",10117,CPSC,"An exploration of the myriad ways in which law and technology intersect, with a special focus on the role of cyberspace. Topics include digital copyright, free speech, privacy and anonymity, information security, innovation, online communities, the impact of technology on society, and emerging trends.",['YCSO'],['MW 4.00-5.15'],No previous experience with computers or law necessary.
200,Introduction to Information Systems,10118,CPSC,"The real-world artifacts and implementations that comprise the vital computational organisms that populate our world. Hardware and software and the related issues of security, privacy, regulation, and software engineering. Examples stress practical applications of technology, as well as limitations and societal issues.",['YCQR'],['MW 2.30-3.45'],After CPSC 100 or 112 or equivalent.
201,Introduction to Computer Science,10119,CPSC,"Introduction to the concepts, techniques, and applications of computer science. Topics include computer systems (the design of computers and their languages); theoretical foundations of computing (computability, complexity, algorithm design); and artificial intelligence (the organization of knowledge and its representation for efficient search). Examples stress the importance of different problem-solving methods.",['YCQR'],['MWF 10.30-11.20'],"After CPSC 100, CPSC 112 or equivalent."
202,Mathematical Tools for Computer Science,10120,CPSC,"Introduction to formal methods for reasoning and to mathematical techniques basic to computer science. Topics include propositional logic, discrete mathematics, and linear algebra. Emphasis on applications to computer science: recurrences, sorting, graph traversal, Gaussian elimination.",['YCQR'],['TTh 1.00-2.15'],Value Not Provided
223,Data Structures and Programming Techniques,10122,CPSC,"Topics include programming in C; data structures (arrays, stacks, queues, lists, trees, heaps, graphs); sorting and searching; storage allocation and management; data abstraction; programming style; testing and debugging; writing efficient programs.",['YCQR'],['TTh 2.30-3.45'],"After CPSC 200, 201 or passing an exam based on CPSC 201 content."
323,Introduction to Systems Programming and Computer Organization,10123,CPSC,"Machine architecture and computer organization, systems programming in a high-level language, issues in operating systems, software engineering, prototyping in scripting languages.",['YCQR'],['MW 1.00-2.15'],After CPSC 223.
327,Object-Oriented Programming,10124,CPSC,"Object-oriented programming as a means to designing and writing efficient, reliable, modular, and reusable code. Covers core concepts and features of object-oriented languages (classes, inheritance, composition, encapsulation, polymorphism, and exceptions) as well as the use of object-oriented design patterns (iterator, decorator, strategy, adapter, observer, etc.). This course was previously number CPSC 427.",['YCQR'],['MW 4.00-5.15'],After CPSC 223.
334,Creative Embedded Systems,10125,CPSC,"Ubiquitous computing is creating new canvases and opportunities for creative ideas. This class explores the use of microprocessors, distributed sensor networks, IoT, and intermedia systems for the purposes of creative expression.The course is delivered in a mixed lecture and lab format that introduces the fundamental concepts and theory behind embedded systems as well as issues particular to their creative employment. The key objective of the course is for students to conceive of and implement creative uses of computation. To this end, skills to be obtained during the course are as follows: (1) appreciate the current efforts and motivation to push the limitations of computation for creative expression, both in new application and new foundational research; (2) weigh factors such as cost, power, processing, memory, I/O capabilities, and networking capabilities when choosing a set of embedded devices and sensors; (3) contextualize unfamiliar hardware and languages through examples, documentation, and...",['YCQR'],['TTh 2.30-4.20'],Prerequisite: CPSC 223 or equivalent or by permission of instructor.
